,uid,page_node_id,service_type,industry,size,type,website
0,1067,1068,company_member,Information Technology & Services,Self-employed,Self-employed,http://www.wudg.com
1,1079,1081,marketing_posting,Information Services,11 - 50 employees,Privately held,http://www.yupe.org
2,1079,1083,company_member,Information Services,11 - 50 employees,Privately held,http://www.tmrc.org
3,1079,1084,company_member,Information Services,11 - 50 employees,Privately held,http://www.bjaj.org
4,1079,1085,company_member,Information Services,11 - 50 employees,Privately held,http://www.vjbw.org
5,1091,1097,company_member,Architecture & Planning,1 - 10 employees,Nonprofit,http://www.hwet.com
6,1091,1098,company_member,Architecture & Planning,1 - 10 employees,Nonprofit,http://www.bcff.com
7,1079,1250,job_posting,Information Services,11 - 50 employees,Privately held,http://www.vxoc.org
8,1079,1258,job_posting,Information Services,11 - 50 employees,Privately held,http://www.uios.org
9,1193,1282,company_member,Internet,11 - 50 employees,Privately held,http://www.gltv.org
10,1193,1283,company_member,Internet,11 - 50 employees,Privately held,http://www.vqly.org
11,1288,1290,marketing_posting,Food & Beverages,"10,001+ employees",Public company,http://www.sdqp.com/
12,1288,1291,job_posting,Food & Beverages,"10,001+ employees",Public company,http://www.byeh.com/
13,1286,1292,marketing_posting,Education Management,"10,001+ employees",Select company type,http://www.vxia.edu/www/
14,1287,1293,job_posting,Entertainment,"10,001+ employees",Public company,http://www.gksf.com/
15,1287,1294,marketing_posting,Entertainment,"10,001+ employees",Public company,http://www.yhmm.com/
16,1285,1295,company_member,Aviation & Aerospace,"10,001+ employees",Government agency,http://www.nqnq.gov/
17,1285,1296,marketing_posting,Aviation & Aerospace,"10,001+ employees",Government agency,http://www.zykw.gov/
18,1285,1297,job_posting,Aviation & Aerospace,"10,001+ employees",Government agency,http://www.ovse.gov/
19,1288,1299,company_member,Food & Beverages,"10,001+ employees",Public company,http://www.xeiq.com/
20,1286,1300,company_member,Education Management,"10,001+ employees",Select company type,http://www.wrhp.edu/www/
21,1286,1301,job_posting,Education Management,"10,001+ employees",Select company type,http://www.uwzi.edu/www/
